"Gene","AUC"
"ENSG00000007264",0.910714285714286
"ENSG00000034053",0.928571428571429
"ENSG00000091409",0.910714285714286
"ENSG00000106366",0.928571428571429
"ENSG00000106541",0.928571428571429
"ENSG00000107731",0.946428571428571
"ENSG00000108342",0.928571428571429
"ENSG00000112773",0.928571428571429
"ENSG00000121413",0.910714285714286
"ENSG00000125968",0.928571428571429
"ENSG00000130202",0.910714285714286
"ENSG00000137843",0.928571428571428
"ENSG00000149634",0.910714285714286
"ENSG00000156427",0.910714285714286
"ENSG00000157542",0.964285714285714
"ENSG00000161551",0.910714285714286
"ENSG00000161647",0.928571428571429
"ENSG00000163116",0.901785714285714
"ENSG00000166664",0.901785714285714
"ENSG00000169385",0.901785714285714
"ENSG00000173530",0.910714285714286
"ENSG00000181790",0.928571428571429
"ENSG00000182310",0.910714285714286
"ENSG00000182809",0.910714285714286
"ENSG00000184232",0.964285714285714
"ENSG00000185022",0.910714285714286
"ENSG00000186523",0.910714285714286
"ENSG00000188886",0.928571428571428
"ENSG00000198576",0.928571428571429
"ENSG00000198967",0.910714285714286
"ENSG00000214626",0.910714285714286
"ENSG00000224023",0.910714285714286
"ENSG00000226007",0.964285714285714
"ENSG00000226519",0.928571428571429
"ENSG00000234705",0.928571428571429
"ENSG00000236305",0.946428571428571
"ENSG00000238039",0.946428571428571
"ENSG00000241357",0.928571428571429
"ENSG00000246379",0.964285714285714
"ENSG00000248564",0.910714285714286
"ENSG00000255250",0.910714285714286
"ENSG00000260572",0.910714285714286
"ENSG00000261026",0.982142857142857
"ENSG00000264808",0.946428571428571
"ENSG00000267498",0.946428571428571
"ENSG00000267582",0.919642857142857
"ENSG00000270765",0.928571428571429
"ENSG00000271993",0.928571428571429
"ENSG00000272606",0.910714285714286
"ENSG00000272927",0.928571428571428
"ENSG00000273335",0.919642857142857
"ENSG00000278156",0.910714285714286
"ENSG00000284830",0.910714285714286
"ENSG00000286787",0.928571428571428
"ENSG00000288748",0.964285714285714
"ENSG00000288825",0.910714285714286
"ENSG00000288879",0.964285714285714
"ENSG00000289010",0.901785714285714
"ENSG00000289152",0.928571428571429
"ENSG00000289212",0.928571428571429
"ENSG00000289466",0.928571428571429
"ENSG00000290046",0.928571428571429
"ENSG00000290577",0.910714285714286
"ENSG00000290911",0.928571428571429
"ENSG00000293832",0.919642857142857
"ENSG00000294399",0.901785714285714
"ENSG00000294400",0.910714285714286
"ENSG00000301129",0.946428571428571
"ENSG00000301373",0.928571428571429
"ENSG00000302628",0.964285714285714
"ENSG00000303242",0.910714285714286
"ENSG00000305148",0.901785714285714
"ENSG00000305207",0.910714285714286
"ENSG00000306875",0.910714285714286
"ENSG00000308112",0.910714285714286
