"Gene","AUC"
"ENSG00000170579",0.875
"ENSG00000172232",0.875
"ENSG00000174837",0.875
"ENSG00000180720",0.875
"ENSG00000184254",0.875
"ENSG00000184702",0.875
"ENSG00000197238",0.875
"ENSG00000198133",0.875
"ENSG00000198435",0.875
"ENSG00000198829",0.875
"ENSG00000205231",0.875
"ENSG00000212195",0.875
"ENSG00000214401",0.875
"ENSG00000220349",0.875
"ENSG00000226089",0.875
"ENSG00000228446",0.875
"ENSG00000237281",0.875
"ENSG00000237976",0.875
"ENSG00000250635",0.875
"ENSG00000251402",0.875
"ENSG00000254877",0.875
"ENSG00000255587",0.875
"ENSG00000259531",0.875
"ENSG00000260273",0.875
"ENSG00000261390",0.875
"ENSG00000261652",0.875
"ENSG00000268081",0.875
"ENSG00000279430",0.875
"ENSG00000282977",0.875
"ENSG00000284948",0.875
"ENSG00000285852",0.875
"ENSG00000286288",0.875
"ENSG00000287369",0.875
"ENSG00000287759",0.875
"ENSG00000289067",0.875
"ENSG00000289170",0.875
"ENSG00000289340",0.875
"ENSG00000289689",0.875
"ENSG00000289872",0.875
"ENSG00000290837",0.875
"ENSG00000293237",0.875
"ENSG00000295042",0.875
"ENSG00000295835",0.875
"ENSG00000297079",0.875
"ENSG00000297418",0.875
"ENSG00000300260",0.875
"ENSG00000301281",0.875
"ENSG00000302185",0.875
"ENSG00000302371",0.875
"ENSG00000303499",0.875
"ENSG00000304716",0.875
"ENSG00000306882",0.875
"ENSG00000307632",0.875
"ENSG00000110076",0.875
"ENSG00000132465",0.875
"ENSG00000166148",0.875
"ENSG00000169184",0.875
"ENSG00000199477",0.875
"ENSG00000102145",0.866071428571429
"ENSG00000136999",0.866071428571429
"ENSG00000170891",0.866071428571429
"ENSG00000197734",0.866071428571429
"ENSG00000233585",0.866071428571429
"ENSG00000266907",0.866071428571429
"ENSG00000267262",0.866071428571429
"ENSG00000289931",0.866071428571429
"ENSG00000294363",0.866071428571429
"ENSG00000295827",0.866071428571429
"ENSG00000164076",0.866071428571428
"ENSG00000196209",0.866071428571428
"ENSG00000288720",0.866071428571428
"ENSG00000289377",0.866071428571428
"ENSG00000290541",0.866071428571428
"ENSG00000296588",0.866071428571428
"ENSG00000011600",0.857142857142857
"ENSG00000019991",0.857142857142857
"ENSG00000070985",0.857142857142857
"ENSG00000080031",0.857142857142857
"ENSG00000102904",0.857142857142857
"ENSG00000111321",0.857142857142857
"ENSG00000112655",0.857142857142857
"ENSG00000132326",0.857142857142857
"ENSG00000134323",0.857142857142857
"ENSG00000136826",0.857142857142857
"ENSG00000138587",0.857142857142857
"ENSG00000144857",0.857142857142857
"ENSG00000150594",0.857142857142857
"ENSG00000154548",0.857142857142857
"ENSG00000155659",0.857142857142857
"ENSG00000159339",0.857142857142857
"ENSG00000160188",0.857142857142857
"ENSG00000161640",0.857142857142857
"ENSG00000162105",0.857142857142857
"ENSG00000164989",0.857142857142857
"ENSG00000166741",0.857142857142857
"ENSG00000167850",0.857142857142857
"ENSG00000174611",0.857142857142857
"ENSG00000178386",0.857142857142857
"ENSG00000182782",0.857142857142857
"ENSG00000182950",0.857142857142857
"ENSG00000184949",0.857142857142857
"ENSG00000186115",0.857142857142857
"ENSG00000196071",0.857142857142857
"ENSG00000201302",0.857142857142857
"ENSG00000206077",0.857142857142857
"ENSG00000225111",0.857142857142857
"ENSG00000227110",0.857142857142857
"ENSG00000228323",0.857142857142857
"ENSG00000230753",0.857142857142857
"ENSG00000232162",0.857142857142857
"ENSG00000233730",0.857142857142857
"ENSG00000234183",0.857142857142857
"ENSG00000236114",0.857142857142857
"ENSG00000237978",0.857142857142857
"ENSG00000246090",0.857142857142857
"ENSG00000254521",0.857142857142857
"ENSG00000271133",0.857142857142857
"ENSG00000271937",0.857142857142857
"ENSG00000279602",0.857142857142857
"ENSG00000280091",0.857142857142857
"ENSG00000286646",0.857142857142857
"ENSG00000287192",0.857142857142857
"ENSG00000289410",0.857142857142857
"ENSG00000290985",0.857142857142857
"ENSG00000293717",0.857142857142857
"ENSG00000295636",0.857142857142857
"ENSG00000296197",0.857142857142857
"ENSG00000296994",0.857142857142857
"ENSG00000297416",0.857142857142857
"ENSG00000297783",0.857142857142857
"ENSG00000299865",0.857142857142857
"ENSG00000302728",0.857142857142857
"ENSG00000303944",0.857142857142857
"ENSG00000305265",0.857142857142857
"ENSG00000308189",0.857142857142857
"ENSG00000308920",0.857142857142857
"ENSG00000007237",0.857142857142857
"ENSG00000090382",0.857142857142857
"ENSG00000132635",0.857142857142857
"ENSG00000140450",0.857142857142857
"ENSG00000144852",0.857142857142857
"ENSG00000145217",0.857142857142857
"ENSG00000160062",0.857142857142857
"ENSG00000168140",0.857142857142857
"ENSG00000177200",0.857142857142857
"ENSG00000178342",0.857142857142857
"ENSG00000184260",0.857142857142857
"ENSG00000198673",0.857142857142857
"ENSG00000204420",0.857142857142857
"ENSG00000250423",0.857142857142857
"ENSG00000261997",0.857142857142857
"ENSG00000262202",0.857142857142857
"ENSG00000262837",0.857142857142857
"ENSG00000270823",0.857142857142857
"ENSG00000283900",0.857142857142857
"ENSG00000289019",0.857142857142857
"ENSG00000292993",0.857142857142857
"ENSG00000293411",0.857142857142857
"ENSG00000304794",0.857142857142857
"ENSG00000304977",0.857142857142857
"ENSG00000310465",0.857142857142857
"ENSG00000081041",0.857142857142857
"ENSG00000129951",0.857142857142857
"ENSG00000251580",0.857142857142857
